,title,main_speaker,website_link,event
147,A flight on solar wings,Paul MacCready,"https://www.ted.com/talks/paul_maccready_flies_on_solar_wings
",TED2003
148,This is Saturn,Carolyn Porco,"https://www.ted.com/talks/carolyn_porco_flies_us_to_saturn
",TED2007
149,My magic moves,Kenichi Ebina,"https://www.ted.com/talks/kenichi_ebina_s_magic_moves
",TED2007
150,"Life at 30,000 feet",Richard Branson,"https://www.ted.com/talks/richard_branson_s_life_at_30_000_feet
",TED2007
151,"Building ""self-aware"" robots",Hod Lipson,"https://www.ted.com/talks/hod_lipson_builds_self_aware_robots
",TED2007
152,The illustrated woman,Maira Kalman,"https://www.ted.com/talks/maira_kalman_the_illustrated_woman
",TED2007
153,The anthropology of mobile phones,Jan Chipchase,"https://www.ted.com/talks/jan_chipchase_on_our_mobile_phones
",TED2007
154,3 clues to understanding your brain,VS Ramachandran,"https://www.ted.com/talks/vilayanur_ramachandran_on_your_mind
",TED2007
155,A commodities exchange for Ethiopia,Eleni Gabre-Madhin,"https://www.ted.com/talks/elene_gabre_madhin_on_ethiopian_economics
",TEDGlobal 2007
156,How electroshock therapy changed me,Sherwin Nuland,"https://www.ted.com/talks/sherwin_nuland_on_electroshock_therapy
",TED2003
157,The habits of happiness,Matthieu Ricard,"https://www.ted.com/talks/matthieu_ricard_on_the_habits_of_happiness
",TED2004
158,Laws that choke creativity,Lawrence Lessig,"https://www.ted.com/talks/larry_lessig_says_the_law_is_strangling_creativity
",TED2007
159,Playing with DNA that self-assembles,Paul Rothemund,"https://www.ted.com/talks/paul_rothemund_casts_a_spell_with_dna
",TED2007
160,A critical look at geoengineering against climate change,David Keith,"https://www.ted.com/talks/david_keith_s_surprising_ideas_on_climate_change
",TEDSalon 2007 Hot Science
161,Using biology to rethink the energy challenge,Juan Enriquez,"https://www.ted.com/talks/juan_enriquez_wants_to_grow_energy
",TEDSalon 2007 Hot Science
162,The case for optimism,Larry Brilliant,"https://www.ted.com/talks/larry_brilliant_makes_the_case_for_optimism
",Skoll World Forum 2007
163,The sticky wonder of gecko feet,Robert Full,"https://www.ted.com/talks/robert_full_on_animal_movement
",TED2005
164,The fractals at the heart of African designs,Ron Eglash,"https://www.ted.com/talks/ron_eglash_on_african_fractals
",TEDGlobal 2007
165,Design and destiny,Philippe Starck,"https://www.ted.com/talks/philippe_starck_thinks_deep_on_design
",TED2007
166,"Beauty, truth and ... physics?",Murray Gell-Mann,"https://www.ted.com/talks/murray_gell_mann_on_beauty_and_truth_in_physics
",TED2007
